dataset,source,n_rows,p_encoded,IR,n_minority,standard_auc,standard_accuracy,standard_output_stab,standard_structural,standard_accuracy_worst
abalone9_18,KEEL,731,10,16.4,42,0.9396071428571428,0.9593243243243242,0.0010124619969947,0.3651423738637573,0.945945945945946
abalone_19_vs_10_11_12_13,KEEL,1622,10,49.69,32,0.6243541666666668,0.9815950920245394,0.0006158944787136,0.1485910979187079,0.98159509202454
abalone_3_vs_11,KEEL,502,10,32.47,15,1.0,1.0,1.2872796021736218e-05,0.0041246741937406,1.0
blood_transfusion,UCI,748,4,3.2,178,0.7553801169590644,0.7856000000000001,0.000951113379204,0.163991635000036,0.7733333333333333
car_good,KEEL,1728,21,24.04,69,0.9695266781411358,0.9567052023121384,0.0030701741176726,0.5605315274160271,0.9421965317919077
dermatology_6,KEEL,358,34,16.9,20,1.0,0.98,4.922994058261078e-05,0.005514469345375,0.9444444444444444
early_stage_diabetes_risk,UCI,520,31,1.6,200,0.9976874999999998,0.9678846153846152,0.0061032088187287,0.3727163899065813,0.903846153846154
ecoli_0_1_3_7_vs_2_6,KEEL,281,7,39.14,7,1.0,1.0,0.0055233921537655,0.3801338010503888,1.0
flare_F,KEEL,1066,19,23.79,43,0.8849757281553399,0.9556074766355138,0.0041972454520891,0.342410799141346,0.9345794392523364
glass2,KEEL,214,9,11.59,17,0.95375,0.9090909090909088,0.0039508644272895,0.5225561620657886,0.9090909090909092
glass4,KEEL,214,9,15.46,13,0.4004761904761906,0.9527272727272732,0.0141953553896228,1.0291273209654024,0.8636363636363636
glass5,KEEL,214,9,22.78,9,0.980952380952381,0.9586363636363638,0.0138538135718702,1.4232255551873234,0.9545454545454546
heart_failure_clinical_records,UCI,299,12,2.11,96,0.8548,0.8176666666666665,0.0049792674976537,0.2030598025769131,0.7666666666666667
kddcup_guess_passwd_vs_satan,KEEL,1642,71,29.98,53,1.0,1.0,0.0001496932955811,0.0612915469894444,1.0
kddcup_land_vs_portsweep,KEEL,1061,82,49.52,21,0.9999523809523808,0.9945794392523364,0.0007571512929067,0.087056208709985,0.9813084112149532
kddcup_land_vs_satan,KEEL,1610,68,75.67,21,1.0,1.0,0.0003006388530024,0.0857191728261316,1.0
kr_vs_k_one_vs_fifteen,KEEL,2244,23,27.77,78,0.9984850230414748,0.9917777777777776,0.0013800710935232,0.1949840084208819,0.9733333333333334
kr_vs_k_zero_vs_eight,KEEL,1460,23,53.07,27,0.9975058275058276,0.9896575342465752,0.011878447776749,2.5980098611053006,0.9794520547945206
kr_vs_k_zero_vs_fifteen,KEEL,2193,23,80.22,27,0.9999539170506913,0.986681818181818,0.0007114195136585,0.1464341704469302,0.9863636363636364
lymphography_normal_fibrosis,KEEL,148,47,23.67,6,0.9407142857142858,0.9080000000000004,9.87498787280256e-05,0.0044261675898834,0.8
page_blocks0,KEEL,5472,10,8.79,559,0.9478201219512192,0.9443795620437956,0.000296325746467,0.1275013318214199,0.9343065693430656
page_blocks_1_3_vs_4,KEEL,472,10,15.86,28,0.9768148148148146,0.943125,0.0065464446176181,2.6239103413959435,0.8958333333333334
poker_8_9_vs_6,KEEL,1485,10,58.4,25,0.2519406392694063,0.9798657718120808,0.0010086977918605,0.1539458645311738,0.9798657718120806
poker_8_vs_6,KEEL,1477,10,85.88,17,0.3911986301369862,0.9864864864864864,0.0010153755869678,0.153406787036399,0.9864864864864864
polish_bankruptcy_1year,UCI,7027,64,24.93,271,0.7561453539338154,0.9624466571834992,0.0004309254953755,1.6580630911071657,0.957325746799431
polish_bankruptcy_2year,UCI,10173,64,24.43,400,0.7035503578732107,0.9585952848722984,0.0002959277616335,0.3867318324491637,0.9567779960707268
polish_bankruptcy_3year,UCI,10503,64,20.22,495,0.7172677322677323,0.9494671741198856,0.0003109525925387,0.6195435877314588,0.9476688867745005
polish_bankruptcy_4year,UCI,9792,64,18.01,515,0.6816300563660478,0.9457755102040816,0.0005036122718537,0.5574656060332,0.9418367346938776
polish_bankruptcy_5year,UCI,5910,64,13.41,410,0.8521161862527716,0.9305922165820644,0.0009932881921834,1.2056674191063543,0.9238578680203046
shuttle_c0_vs_c4,KEEL,1829,9,13.87,123,1.0,1.0,0.0028467481445798,0.2865995409503801,1.0
vowel0,KEEL,988,13,9.98,90,0.9949629629629626,0.97030303030303,0.00239894322897,1.5850148368901362,0.9595959595959596
winequality_red_3_vs_5,KEEL,691,11,68.1,10,0.3679710144927536,0.9857142857142857,0.0048087214895172,0.3878899609429864,0.9857142857142858
winequality_red_4,KEEL,1599,11,29.17,53,0.8149548387096773,0.96875,0.0009394109824241,0.1593920820974004,0.96875
winequality_red_8_vs_6_7,KEEL,855,11,46.5,18,0.8192857142857142,0.9767441860465118,0.0024579377727294,0.2501248480800313,0.9767441860465116
winequality_white_3_vs_7,KEEL,900,11,44.0,20,0.8411363636363636,0.982777777777778,0.0031587182042398,0.3170625072919482,0.9777777777777776
winequality_white_9_vs_4,KEEL,168,11,32.6,5,1.0,0.9552941176470588,0.0144795452028974,1.0336536610501474,0.9411764705882352
yeast3,KEEL,1484,8,8.1,163,0.9541682330827068,0.9254362416107382,0.0061802060754798,0.4362374749829496,0.912751677852349
yeast5,KEEL,1484,8,32.73,44,0.9937413793103448,0.9752348993288592,0.0059330874877552,0.5462860081636924,0.9731543624161074
yeast6,KEEL,1484,8,41.4,35,0.9750689655172412,0.9743624161073824,0.0038977423643062,0.3713424452618989,0.9664429530201344
zoo_3,KEEL,101,16,19.2,5,0.951,0.9299999999999996,0.0094152754566771,0.5270866936973724,0.9090909090909092
