Model,Tree,Leaf,n,Prescription,Tested metric,p vs standard,p vs stable
lr,3class_equal,1,18,stable,avg_rank_equal,0.021,0.951
lr,3class_equal,2,22,balanced,avg_rank_equal,0.039,0.161
lr,3class_stability,1,13,stable,avg_rank_stability,0.073,0.989
lr,3class_stability,2,27,balanced,avg_rank_stability,5.9e-05,0.077
lr,binary_equal,2,8,other,avg_rank_equal,0.496,0.984
lr,binary_equal,3,8,other,avg_rank_equal,0.133,0.891
lr,binary_equal,5,13,balanced,avg_rank_equal,0.007,0.011
lr,binary_equal,6,11,other,avg_rank_equal,0.027,0.873
lr,binary_stability,1,13,other,avg_rank_stability,0.073,0.989
lr,binary_stability,2,27,balanced,avg_rank_stability,5.9e-05,0.077
lr,metric_output_stab,2,3,stable,output_stability,0.750,0.875
lr,metric_output_stab,3,3,stable,output_stability,0.250,1.000
lr,metric_output_stab,5,16,balanced,output_stability,1.5e-05,1.5e-05
lr,metric_output_stab,7,5,balanced,output_stability,0.031,0.031
lr,metric_output_stab,8,13,stable,output_stability,0.009,0.249
lr,metric_structural,2,10,balanced,structural_total,9.8e-04,0.014
lr,metric_structural,3,14,stable,structural_total,0.015,0.993
lr,metric_structural,4,16,balanced,structural_total,1.5e-05,1.5e-05
lr,metric_auc_worst,1,32,standard,auc_worst,0.960,0.800
lr,metric_auc_worst,2,8,standard,auc_worst,--,--
lr,metric_accuracy_worst,2,21,standard,accuracy_worst,0.857,--
lr,metric_accuracy_worst,3,13,standard,accuracy_worst,0.078,0.375
lr,metric_accuracy_worst,5,3,stable,accuracy_worst,0.125,--
lr,metric_accuracy_worst,6,3,balanced,accuracy_worst,0.125,0.250
svm,3class_equal,2,33,stable,avg_rank_equal,0.011,0.726
svm,3class_equal,3,3,standard,avg_rank_equal,1.000,1.000
svm,3class_equal,4,4,balanced,avg_rank_equal,0.062,0.062
svm,3class_stability,1,36,stable,avg_rank_stability,0.012,0.650
svm,3class_stability,2,4,balanced,avg_rank_stability,0.062,0.062
svm,binary_equal,2,27,other,avg_rank_equal,0.009,0.441
svm,binary_equal,3,9,other,avg_rank_equal,0.959,0.988
svm,binary_equal,4,4,balanced,avg_rank_equal,0.062,0.062
svm,binary_stability,1,13,balanced,avg_rank_stability,1.2e-04,0.023
svm,binary_stability,2,27,other,avg_rank_stability,0.126,0.831
svm,metric_output_stab,1,16,balanced,output_stability,3.1e-05,1.5e-05
svm,metric_output_stab,2,24,stable,output_stability,0.001,0.594
svm,metric_structural,2,27,balanced,structural_total,3.7e-08,2.4e-05
svm,metric_structural,3,5,standard,structural_total,0.938,0.688
svm,metric_structural,5,5,standard,structural_total,0.844,0.781
svm,metric_structural,6,3,stable,structural_total,0.125,1.000
svm,metric_auc_worst,3,14,standard,auc_worst,0.861,0.861
svm,metric_auc_worst,4,11,balanced,auc_worst,0.007,0.019
svm,metric_auc_worst,5,8,stable,auc_worst,0.125,0.688
svm,metric_auc_worst,6,7,standard,auc_worst,--,--
svm,metric_accuracy_worst,1,36,standard,accuracy_worst,0.603,0.458
svm,metric_accuracy_worst,2,4,balanced,accuracy_worst,0.062,0.062
